callsign,time,lat,lon,velocity,baroaltitude_m,geoaltitude_m,lon_lv95,lat_lv95
AUA551  ,1655713510,47.44793701171875,8.691421508789062,82.72157142451064,929.64,1028.7,2694483,1255992
AUA551  ,1655713520,47.44866943359375,8.680709838867188,81.13550084352019,891.5400000000001,982.98,2693674,1256061
AUA551  ,1655713530,47.44939254502118,8.670184795673077,76.58134408361974,853.44,944.88,2692879,1256128
AUA551  ,1655713540,47.45018393306409,8.660113994891827,74.53581683206345,815.34,906.78,2692118,1256205
AUA551  ,1655713550,47.45086669921875,8.650497436523438,71.92287736938961,777.24,861.0600000000001,2691392,1256269
AUA551  ,1655713560,47.4515339479608,8.641099196213942,70.28329334076086,731.52,815.34,2690682,1256332
AUA551  ,1655713570,47.45219421386719,8.632026672363281,69.87732828005947,693.4200000000001,777.2400000000001,2689997,1256395
AUA551  ,1655713580,47.45288396285752,8.622577373798077,70.8458686979293,655.32,731.5200000000001,2689283,1256461
AUA551  ,1655713590,47.45353569418697,8.61328125,70.38864873014012,609.6,685.8000000000001,2688581,1256523
AUA551  ,1655713600,47.45420837402344,8.604217529296875,70.33410939089306,571.5,647.7,2687897,1256588
AUA551  ,1655713610,47.45484924316406,8.594810485839844,69.77120079465153,533.4,601.98,2687186,1256649
AUA551  ,1655713620,47.45553744041313,8.58574500450721,68.79907173863148,495.3,563.88,2686502,1256715
AUA551  ,1655713630,47.45613098144531,8.5770263671875,68.79907173863148,457.2000000000001,533.4000000000001,2685843,1256771
AUA551  ,1655713640,47.456375380693856,8.573561448317307,68.34364821708938,419.1,502.92,2685582,1256795
AUA551  ,1655713650,47.457183837890625,8.562057495117188,56.871080354351065,403.86,480.06,2684713,1256872
AZE42RI ,1655713980,47.47234279826536,8.549264761117788,64.76684469545819,480.06,556.26,2683724,1258544
AZE42RI ,1655713990,47.47685836533368,8.542996920072115,65.86691543883354,594.36,678.1800000000001,2683245,1259039
AZE42RI ,1655714000,47.48118772345074,8.537081204927883,67.37645395514525,701.0400000000001,792.48,2682792,1259514
AZE42RI ,1655714010,47.48570251464844,8.531021118164062,67.72318704053198,815.34,914.4,2682329,1260010
AZE42RI ,1655714020,47.49046325683594,8.525253295898438,68.65466717501556,929.64,1028.7,2681887,1260533
AZE42RI ,1655714030,47.495635986328125,8.520584106445312,70.40556614158628,1021.08,1127.76,2681527,1261103
AZE42RI ,1655714040,47.501158633474574,8.515531099759615,69.52801538803028,1150.62,1264.92,2681138,1261712
AZE42RI ,1655714050,47.506465588585804,8.510601337139422,72.36309086879096,1242.0600000000002,1348.7400000000002,2680758,1262297
AZE42RI ,1655714060,47.512051857123936,8.505460298978365,72.96586147184799,1348.74,1470.66,2680362,1262913
AZE42RI ,1655714070,47.517684677899894,8.50017841045673,73.87423004954742,1463.04,1577.34,2679956,1263534
AZE42RI ,1655714080,47.52159118652344,8.492568969726562,76.21067247452062,1516.38,1638.3000000000002,2679377,1263960
AZE42RI ,1655714090,47.52359681210275,8.482572115384615,79.23439700259094,1607.8200000000002,1737.36,2678621,1264173
AZE42RI ,1655714100,47.52471406581038,8.472360464242788,75.40597945114804,1752.6,1897.38,2677851,1264287
AZE42RI ,1655714110,47.52192093154131,8.463698167067307,73.6571713907614,1912.62,2057.4,2677202,1263968
AZE42RI ,1655714120,47.51605224609375,8.458236694335938,79.71060356249406,2011.68,2148.84,2676800,1263310
AZE42RI ,1655714130,47.509119066141416,8.454613318810095,84.9222240874319,2095.5,2240.28,2676537,1262536
AZE42RI ,1655714140,47.50139139466366,8.450951209435095,91.27141287015267,2156.46,2308.86,2676272,1261673
AZE42RI ,1655714150,47.49324475304555,8.44707782451923,97.93641092641138,2209.8,2362.2000000000003,2675992,1260764
AZE42RI ,1655714160,47.48497009277344,8.443061828613281,103.46593085915384,2263.1400000000003,2423.1600000000003,2675701,1259840
AZE42RI ,1655714170,47.47576904296875,8.438529968261719,109.16036197653617,2316.48,2476.5,2675372,1258812
AZE42RI ,1655714180,47.46624755859375,8.433723449707031,114.86049609169204,2369.82,2529.84,2675024,1257749
AZE42RI ,1655714190,47.456561589645126,8.427640474759615,118.57683112959889,2423.1600000000003,2590.8,2674579,1256667
AZE42RI ,1655714200,47.44869426145392,8.417147122896633,121.7331479747451,2476.5,2644.14,2673798,1255782
AZE42RI ,1655714210,47.44278212725106,8.403273362379807,125.64445601761504,2529.84,2705.1000000000004,2672760,1255112
AZE42RI ,1655714220,47.43673033633474,8.388554499699518,129.45704978886704,2583.1800000000003,2758.4400000000005,2671658,1254425
AZE42RI ,1655714230,47.430267333984375,8.373779296875,132.6996306883408,2636.52,2811.78,2670552,1253694
AZE42RI ,1655714240,47.4239501953125,8.3594970703125,135.26649314573987,2689.86,2872.74,2669483,1252979
AZE42RI ,1655714250,47.41694641113281,8.343772888183594,137.55197476659836,2735.58,2918.46,2668305,1252186
AZE42RI ,1655714260,47.410335217492054,8.328763521634615,138.69490383121567,2766.06,2956.56,2667181,1251438
AZE42RI ,1655714270,47.40339660644531,8.313011169433594,136.99287294342008,2857.5,3055.62,2666001,1250653
AZE42RI ,1655714280,47.39707946777344,8.298591613769531,135.84926126976433,2948.94,3147.06,2664920,1249939
AZE42RI ,1655714290,47.3903177552304,8.28319842998798,136.56041707635575,3017.52,3215.64,2663766,1249175
AZE42RI ,1655714300,47.38352966308594,8.267692565917969,136.56041707635575,3086.1000000000004,3284.2200000000003,2662604,1248407
AZE42RI ,1655714310,47.37691071073888,8.2525634765625,136.56041707635575,3154.6800000000003,3360.42,2661469,1247660
AZE42RI ,1655714320,47.37025374073093,8.23742206280048,136.28203185859172,3246.1200000000003,3451.8600000000006,2660333,1246908
AZE42RI ,1655714330,47.3636433229608,8.222210223858172,136.56041707635575,3314.7000000000003,3528.0600000000004,2659191,1246161
AZE42RI ,1655714340,47.35689324847722,8.206927959735577,136.12853151379662,3390.9,3604.26,2658044,1245399
AZE42RI ,1655714350,47.35037593518273,8.192138671875,134.2738260417495,3497.5800000000004,3710.94,2656934,1244664
AZE42RI ,1655714360,47.34370422363281,8.177055358886719,132.41912473670416,3589.02,3810.0,2655801,1243911
AZE42RI ,1655714370,47.33724820411811,8.162207970252403,131.4291156900844,3695.7,3924.3,2654686,1243183
AZE42RI ,1655714380,47.33088684082031,8.147666931152344,130.71838814859157,3794.76,4023.36,2653593,1242466
